,id,title,context,question,answers,correct_answer,wrong_answer,sampled_answer,answer_true,guard_passed_gpt-4o-mini,guard_latency_gpt-4o-mini,guard_passed_gpt-3.5-turbo,guard_latency_gpt-3.5-turbo
2322,573405584776f41900661711,Portugal,"Portugal is a significant European minerals producer and is ranked among Europe's leading copper producers. The nation is also a notable producer of tin, tungsten and uranium. However, the country lacks the potential to conduct hydrocarbon exploration and aluminium, a limitation that has hindered the development of Portugal's mining and metallurgy sectors. Although the country has vast iron and coal reserves—mainly in the north—after the 1974 revolution and the consequent economic globalization, low competitiveness forced a decrease in the extraction activity for these minerals. The Panasqueira and Neves-Corvo mines are among the most recognised Portuguese mines that are still in operation.[citation needed]",What event triggered a decrease in the extraction of Portugal's natural resources?,1974 revolution and the consequent economic globalization,True,The decrease in the extraction of Portugal's natural resources was triggered by the Great Lisbon Earthquake of 1755.,The decrease in the extraction of Portugal's natural resources was triggered by the Great Lisbon Earthquake of 1755.,False,False,2.2814217080012895,False,1.6978826660197228
1672,573352f9d058e614000b585d,Alfred_North_Whitehead,"A second problem with materialism is that it obscures the importance of relations. It sees every object as distinct and discrete from all other objects. Each object is simply an inert clump of matter that is only externally related to other things. The idea of matter as primary makes people think of objects as being fundamentally separate in time and space, and not necessarily related to anything. But in Whitehead's view, relations take a primary role, perhaps even more important than the relata themselves. A student taking notes in one of Whitehead's fall 1924 classes wrote that:",What is the general materialistic view of an object?,Each object is simply an inert clump of matter that is only externally related to other things,True,"The general materialistic view of an object is that it is intrinsically connected to all other objects, with relationships and interactions being the core of its existence.",Each object is simply an inert clump of matter that is only externally related to other things,True,True,2.9369105000514537,True,1.625403166981414
1820,57302051947a6a140053d14f,Printed_circuit_board,"The Austrian engineer Paul Eisler invented the printed circuit as part of a radio set while working in England around 1936. Around 1943 the USA began to use the technology on a large scale to make proximity fuses for use in World War II. After the war, in 1948, the USA released the invention for commercial use. Printed circuits did not become commonplace in consumer electronics until the mid-1950s, after the Auto-Sembly process was developed by the United States Army. At around the same time in Britain work along similar lines was carried out by Geoffrey Dummer, then at the RRDE.",Who was working on the same type of large-scale application of printed circuits as the U.S. in Britain in the mid-1950s?,Geoffrey Dummer,True,Albert Einstein was working on the same type of large-scale application of printed circuits as the U.S. in Britain in the mid-1950s.,Albert Einstein was working on the same type of large-scale application of printed circuits as the U.S. in Britain in the mid-1950s.,False,False,1.853093333018478,False,1.3285819169832394
2123,57278604708984140094dfe6,North_Carolina,"Differences in the settlement patterns of eastern and western North Carolina, or the Low Country and uplands, affected the political, economic, and social life of the state from the 18th until the 20th century. The Tidewater in eastern North Carolina was settled chiefly by immigrants from rural England and the Scottish Highlands. The upcountry of western North Carolina was settled chiefly by Scots-Irish, English, and German Protestants, the so-called ""cohee"". Arriving during the mid- to late 18th century, the Scots-Irish from what is today Northern Ireland were the largest non-English immigrant group before the Revolution; English indentured servants were overwhelmingly the largest immigrant group before the Revolution. During the American Revolutionary War, the English and Highland Scots of eastern North Carolina tended to remain loyal to the British Crown, because of longstanding business and personal connections with Great Britain. The English, Welsh, Scots-Irish, and German settlers of western North Carolina tended to favor American independence from Britain.",Where did immigrants from England and the Scottish Highlands settle?,The Tidewater,True,Immigrants from England and the Scottish Highlands primarily settled in the upcountry of western North Carolina.,Immigrants from England and the Scottish Highlands primarily settled in the upcountry of western North Carolina.,False,False,2.288439250027295,False,1.5015245829708874
1158,57266813708984140094c4ff,Freemasonry,"In general, Continental Freemasonry is sympathetic to Freemasonry amongst women, dating from the 1890s when French lodges assisted the emergent co-masonic movement by promoting enough of their members to the 33rd degree of the Ancient and Accepted Scottish Rite to allow them, in 1899, to form their own grand council, recognised by the other Continental Grand Councils of that Rite. The United Grand Lodge of England issued a statement in 1999 recognising the two women's grand lodges there to be regular in all but the participants. While they were not, therefore, recognised as regular, they were part of Freemasonry ""in general"". The attitude of most regular Anglo-American grand lodges remains that women Freemasons are not legitimate Masons.",What did the french lodges promote to try to get women accepted into the Freemasons?,the 33rd degree of the Ancient and Accepted Scottish Rite,True,The French lodges promoted a series of culinary competitions to try to get women accepted into the Freemasons.,The French lodges promoted a series of culinary competitions to try to get women accepted into the Freemasons.,False,False,2.5584957909886725,False,1.2554761659703217
1329,5728396e2ca10214002da111,Group_(mathematics),"A group is called finite if it has a finite number of elements. The number of elements is called the order of the group. An important class is the symmetric groups SN, the groups of permutations of N letters. For example, the symmetric group on 3 letters S3 is the group consisting of all possible orderings of the three letters ABC, i.e. contains the elements ABC, ACB, ..., up to CBA, in total 6 (or 3 factorial) elements. This class is fundamental insofar as any finite group can be expressed as a subgroup of a symmetric group SN for a suitable integer N (Cayley's theorem). Parallel to the group of symmetries of the square above, S3 can also be interpreted as the group of symmetries of an equilateral triangle.",What is the number of elements in a group named?,the order of the group,True,"The number of elements in a group is named the ""sequence"" of the group.",the order of the group,True,True,2.0694384159869514,True,1.2830625409842469
997,56f8245fa6d7ea1400e17409,Szlachta,"In 1454 King Casimir IV granted the Nieszawa Statutes (Polish: ""statuty cerkwicko-nieszawskie""), clarifying the legal basis of voivodship sejmiks (local parliaments). The king could promulgate new laws, raise taxes, or call for a levée en masse (pospolite ruszenie) only with the consent of the sejmiks, and the nobility were protected from judicial abuses. The Nieszawa Statutes also curbed the power of the magnates, as the Sejm (national parliament) received the right to elect many officials, including judges, voivods and castellans. These privileges were demanded by the szlachta as a compensation for their participation in the Thirteen Years' War.",Why did the szlachta demand privileges?,their participation in the Thirteen Years' War.,True,The szlachta demanded privileges because they wanted to establish their own independent kingdom separate from King Casimir IV's rule.,their participation in the Thirteen Years' War.,True,True,3.2783454169984907,True,1.2987862920272164
2441,56e7ad0337bdd419002c431b,Nanjing,"Port of Nanjing is the largest inland port in China, with annual cargo tonnage reached 191,970,000 t in 2012. The port area is 98 kilometres (61 mi) in length and has 64 berths including 16 berths for ships with a tonnage of more than 10,000. Nanjing is also the biggest container port along the Yangtze River; in March 2004, the one million container-capacity base, Longtan Containers Port Area opened, further consolidating Nanjing as the leading port in the region. As of 2010, it operated six public ports and three industrial ports.",When did Longtan Containers Port Area open up?,March 2004,True,Longtan Containers Port Area opened up in December 2008.,Longtan Containers Port Area opened up in December 2008.,False,False,1.4545673329848796,False,1.344647874997463
1461,572ee375dfa6aa1500f8d49d,Modern_history,"In Asia, various Chinese dynasties and Japanese shogunates controlled the Asian sphere. In Japan, the Edo period from 1600 to 1868 is also referred to as the early modern period. And in Korea, from the rising of Joseon Dynasty to the enthronement of King Gojong is referred to as the early modern period. In the Americas, Native Americans had built a large and varied civilization, including the Aztec Empire and alliance, the Inca civilization, the Mayan Empire and cities, and the Chibcha Confederation. In the west, the European kingdoms and movements were in a movement of reformation and expansion. Russia reached the Pacific coast in 1647 and consolidated its control over the Russian Far East in the 19th century.",Name one of the tribes Native Americans established in the Americas.,Aztec Empire,True,The Zulu Tribe,The Zulu Tribe,False,False,1.2627841249923222,False,1.1984919999958947
756,57279021708984140094e0f3,Alsace,"France started the Franco-Prussian War (1870–71), and was defeated by the Kingdom of Prussia and other German states. The end of the war led to the unification of Germany. Otto von Bismarck annexed Alsace and northern Lorraine to the new German Empire in 1871; unlike other members states of the German federation, which had governments of their own, the new Imperial territory of Alsace-Lorraine was under the sole authority of the Kaiser, administered directly by the imperial government in Berlin. Between 100,000 and 130,000 Alsatians (of a total population of about a million and a half) chose to remain French citizens and leave Reichsland Elsaß-Lothringen, many of them resettling in French Algeria as Pieds-Noirs. Only in 1911 was Alsace-Lorraine granted some measure of autonomy, which was manifested also in a flag and an anthem (Elsässisches Fahnenlied). In 1913, however, the Saverne Affair (French: Incident de Saverne) showed the limits of this new tolerance of the Alsatian identity.",Which country defeated the French in 1871?,Kingdom of Prussia,True,The country that defeated the French in 1871 was Spain.,Kingdom of Prussia,True,True,1.2909607080509886,True,1.2265737080015242
